"","Model","RMSE","R2","MAE"
"1","elnet",9.41326221296695,0.609118441834909,6.60613242780365
"2","elnet2",9.40980243096275,0.609323113792655,6.60328842170795
"3","ridge",9.3803229836782,0.611884345850311,6.59209155262322
"4","ridge2",9.67066715939358,0.58961753159145,6.82706462001223
"5","lasso",9.41232922031514,0.609177381558597,6.60536223203858
"6","lasso2",9.4159012216822,0.608972951981687,6.60758021019049
"7","knn",7.92238714985693,0.723210596141201,5.11028083028083
"8","net.tr",9.13814374765983,0.601409858274015,6.53039612094136
"9","net2.tr",9.13666957623973,0.601533330127024,6.52809747609071
"10","rid2.tr",18.0019038744078,NA,14.4386286251159
"11","las.tr",9.13744290778028,0.601469359824901,6.52970226978101
"12","las2.tr",9.14093947166858,0.601174184844501,6.53280854987242
"13","knn.tr",6.00654077790411,0.828871730562378,3.92461392907282
